pathway	pathname	path_genes	up_p	up_cor	up_max_stat	path_genes_up	genes_up	down_p	down_cor	down_max_stat	path_genes_down	genes_down
eco03010	Ribosome - Escherichia coli K-12 MG1655	47	16.9301065400341	0.0415705883354956	0	46	121	0	-0.718447925020759	-0.00192300000000001	1	112
eco01100	Metabolic pathways - Escherichia coli K-12 MG1655	118	0.0975728657040607	-0.278852668966351	0	2	4	11.9620944101024	-0.28791757184383	-0.00192300000000001	76	111
eco01110	Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655	52	0.128289004131279	-0.374246185040571	0	1	3	6.39196276704737	-0.36334238939617	-0.00259300000000001	37	105
eco00564	Glycerophospholipid metabolism - Escherichia coli K-12 MG1655	7	0	-0.696245851219588	0	0	0	4.52449802657667	0.171548887400017	-0.016513	7	45
eco00970	Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655	22	3.97460429751514	-0.0889584297877454	0	22	169	0	-0.804836698393845	0	0	0
eco00860	Porphyrin and chlorophyll metabolism - Escherichia coli K-12 MG1655	8	0	-0.365458206034421	0	1	127	3.88030349766706	0.742086407213517	-0.03538	4	7
eco00540	Lipopolysaccharide biosynthesis - Escherichia coli K-12 MG1655	9	0.105567188803769	0.356640168675352	0	1	22	3.69596775516362	0.456998955173104	-0.029607	6	25
eco00790	Folate biosynthesis - Escherichia coli K-12 MG1655	6	0	-0.903511586913576	0	0	0	1.98902602396983	-0.0702305107655169	-0.00259300000000001	6	93
eco00550	Peptidoglycan biosynthesis - Escherichia coli K-12 MG1655	11	0	-0.828147048496302	0	2	152	1.56216889819689	-0.702186422503628	-0.00259300000000001	9	109
eco00300	Lysine biosynthesis - Escherichia coli K-12 MG1655	7	0.207577803139198	-0.125743176740044	0	1	16	1.53950452270439	-0.188318841461365	-0.00259300000000001	6	88
eco03430	Mismatch repair - Escherichia coli K-12 MG1655	9	1.37752836791673	0.828540870349108	0	5	36	0.361753017747965	0.666815259195071	-0.03538	1	8
eco00261	Monobactam biosynthesis - Escherichia coli K-12 MG1655	3	0	-0.739550618504673	0	0	0	1.35369943917219	-0.112637528210318	-0.003635	3	54
eco00900	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655	10	0.128289004131279	-0.44813521118554	0	2	44	1.29523794949716	-0.464009814883747	-0.00192300000000001	8	111
eco03440	Homologous recombination - Escherichia coli K-12 MG1655	11	1.27776449598317	0.844262398517022	0	4	19	0.879763488734916	0.818634499209739	-0.03538	2	8
eco00770	Pantothenate and CoA biosynthesis - Escherichia coli K-12 MG1655	5	0	-0.364064241050947	0	1	88	1.24525616923445	0.105877023294641	-0.00322	4	65
eco03030	DNA replication - Escherichia coli K-12 MG1655	12	1.24118421985506	0.747090291182778	0	8	80	0.277130892955227	0.543237717289516	-0.03538	1	8
