Gene	Product	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
accB	acetyl-CoA carboxylase, biotin carboxyl carrier protein	-0.837167369692786	-4.5	-4.5	-1.71065807893899	-4.5	-4.5	X	-1.32141130169727	-4.5	-4.5	-4.5	-0.884042109266414	-4.5	BN373_43051	ERS227112_00942	ROD_45591	SL1344_3352	SL3261_3352	STMMW_33771	X	SEN3213	t3294	EC958_3647	NCTC13441_00446	BW25113_3255	b3255
		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
rpmC	ribosomal protein L29	-4.5	-4.5	-4.5	-0.856343297117406	-4.5	X	X	-0.43845829645537	-4.5	-4.5	-4.5	-4.5	-4.5	BN373_43481	ERS227112_00875	ROD_45101	SL1344_3399	SL3261_3399	X	X	SEN3260	t4073	EC958_3705	NCTC13441_00383	BW25113_3312	b3312
cI	bacteriophage repressor protein cI	X	X	X	-0.93077204602954	-4.5	X	X	X	-4.5	X	X	X	X	X	X	X	SL1344_2708	SL3261_2708	X	X	X	t4337	X	X	X	X
cohE	putative phage repressor	-4.5	-4.5	X	X	X	X	X	X	X	-1.50538815145575	-4.5	-4.5	-4.5	BN373_33841	ERS227112_05331	X	X	X	X	X	X	X	EC958_4914	NCTC13441_02569	BW25113_1145	b1145
dicA	Qin prophage; putative regulator for DicB	X	X	X	-4.5	-4.5	-4.5	-4.5	X	-0.379868074169301	-4.5	-4.5	-4.5	-4.5	X	X	X	SL1344_0950	SL3261_0950	STMMW_10231	STM_MW10231	X	t1920	EC958_2173	NCTC13441_01922	BW25113_1570	b1570
		X	-4.5	X	X	X	X	X	X	X	X	X	X	X	X	ERS227112_05427	X	X	X	X	X	X	X	X	X	X	X
	hypothetical competence protein	X	X	X	-2.15270506932406	-4.5	X	X	X	X	X	X	X	X	X	X	X	SL1344_2695	SL3261_2695	X	X	X	X	X	X	X	X
