WORD	Intersection	Not
protein	858	714
subunit	460	213
ribosomal	340	314
synthetase	306	58
synthase	157	140
alpha	137	0
ligase	127	28
factor	126	46
bacteria	124	84
polymerase	124	54
rh20207	122	82
annotate	122	82
icorn	122	82
kinase	115	70
cell	92	56
domain	90	34
membrane	87	36
beta	86	30
division	82	45
carboxylase	74	0
trna	70	6
transferase	68	11
chain	58	21
riboflavin	52	9
gyrase	50	0
reductase	49	46
elongation	49	6
biosynthesis	46	25
translocase	44	0
decarboxylase	42	23
transcription	42	16
replication	39	10
probable	39	2
family	37	46
atp-binding	37	36
outer	37	27
acyl-carrier-protein	37	0
preprotein	37	0
dna-directed	37	0
topoisomerase	36	23
acyltransferase	36	0
hypothetical	35	47
acetyl-coa	35	0
udp-n-acetylglucosamine	34	0
glutamyl-trna	33	0
translation	32	0
carrier	31	20
gtp-binding	31	0
phenylalanyl-trna	28	0
signal	27	41
3-hydroxymyristoyl	27	0
3-oxoacyl-	27	0
recognition	27	0
udp-3-o-	27	0
dehydrogenase	26	71
transporter	26	30
putative	26	21
termination	25	9
permease	25	8
synthetases	25	4
gtpase	25	0
deaminase	25	0
lipoprotein	24	64
class	24	7
predicted	24	6
helicase	24	3
pantothenate	24	0
initiation	24	0
adenylyltransferase	23	15
guanylate	23	0
conserved	22	39
particle	22	0
carboxyl	22	0
n-acyltransferase	22	0
-kinase	22	0
replicative	22	0
delta	21	21
glycerol-3-phosphate	21	14
precursor	21	8
diacylglyceryl	21	0
chromosomal	21	0
lipid-a-disaccharide	21	0
prolyl-trna	21	0
chromosome	21	0
flavodoxin	21	0
phosphatidylserine	21	0
pyrophosphate	20	2
export	20	2
prolipoprotein	20	1
ftsz	20	1
aspartate-semialdehyde	20	0
reductoisomerase	20	0
udp-n-acetylenolpyruvoylglucosamine	20	0
undecaprenyl	20	0
sece	20	0
ftsa	20	0
cyclohydrolase	19	35
binding	19	14
component	19	14
c-terminal	19	7
porphobilinogen	19	2
phosphoglycerate	19	0
1-deoxy-d-xylulose	19	0
apolipoprotein	19	0
5-phosphate	19	0
system	18	23
antitermination	18	4
s-adenosylmethionine	18	1
ribose-phosphate	18	0
biotin	18	0
initiator	18	0
glutaminyl-trna	18	0
1-carboxyvinyltransferase	18	0
4-phosphate	17	18
transport	17	16
beta-subunit	17	0
ftsq	17	0
valyl-trna	17	0
leucyl-trna	17	0
tetraacyldisaccharide	17	0
glycine-trna	17	0
isoleucyl-trna	17	0
4-dihydroxy-2-butanone	17	0
bifunctional	16	33
lipid	16	1
pyrophosphokinase	16	0
methionyl-trna	16	0
alanyl-trna	16	0
phosphopantetheine	15	2
seryl-trna	15	0
asparaginyl-trna	15	0
malonyl	15	0
acetyl-coenzyme	15	0
enoyl-	15	0
coa-acyl	15	0
transacylase	15	0
ubiquinone	14	18
