WORD	Ancestralii	Not
protein	1572	1083
subunit	673	333
ribosomal	654	420
synthetase	364	92
synthase	297	79
bacteria	208	143
rh20207	204	133
icorn	204	133
annotate	204	133
kinase	185	37
polymerase	178	118
factor	172	154
ligase	155	38
cell	148	72
alpha	137	23
division	127	64
domain	124	65
membrane	123	69
beta	116	22
dehydrogenase	97	42
reductase	95	52
lipoprotein	88	17
family	83	63
hypothetical	82	113
chain	79	42
transferase	79	33
trna	76	50
carboxylase	74	21
atp-binding	73	0
biosynthesis	71	34
signal	68	1
decarboxylase	65	2
outer	64	4
conserved	61	97
riboflavin	61	2
topoisomerase	59	18
transcription	58	4
peptidase	56	7
transporter	56	4
elongation	55	5
cyclohydrolase	54	0
carrier	51	30
gyrase	50	2
bifunctional	49	22
replication	49	18
putative	47	71
translocase	44	45
cytidylyltransferase	43	18
dihydrodipicolinate	43	0
delta	42	0
system	41	42
probable	41	24
thymidylate	41	0
adenylyltransferase	38	1
acyl-carrier-protein	37	41
preprotein	37	33
dna-directed	37	19
shape-determining	36	33
acyltransferase	36	25
acid	36	2
acetyl-coa	35	17
glycerol-3-phosphate	35	0
4-phosphate	35	0
udp-n-acetylglucosamine	34	2
termination	34	0
component	33	72
transport	33	25
binding	33	13
permease	33	11
glutamyl-trna	33	0
translation	32	41
ubiquinone	32	2
gtp-binding	31	33
class	31	18
primosomal	31	16
methyltransferase	31	9
predicted	30	19
2-c-methyl-d-erythritol	30	0
precursor	29	16
synthetases	29	12
penicillin-binding	29	0
inorganic	29	0
phenylalanyl-trna	28	0
helicase	27	21
3-oxoacyl-	27	12
3-hydroxymyristoyl	27	0
recognition	27	0
udp-3-o-	27	0
c-terminal	26	6
gtpase	25	20
deaminase	25	14
transmembrane	25	1
initiation	24	45
pantothenate	24	0
assembly	23	21
acyl	23	16
4-cyclodiphosphate	23	0
guanylate	23	0
dihydroneopterin	23	0
chaperone	22	33
carboxyl	22	19
export	22	14
chaperonin	22	4
pyrophosphate	22	3
antitermination	22	1
particle	22	0
-kinase	22	0
replicative	22	0
n-acyltransferase	22	0
ferrochelatase	22	0
lipopolysaccharide	21	44
uroporphyrinogen	21	10
n-terminal	21	8
phosphatidylserine	21	4
chromosomal	21	0
lipid-a-disaccharide	21	0
chromosome	21	0
flavodoxin	21	0
ftsz	21	0
adenylate	21	0
prolipoprotein	21	0
diacylglyceryl	21	0
porphobilinogen	21	0
prolyl-trna	21	0
dephospho-coa	21	0
n-succinyltransferase	21	0
folylpolyglutamate	21	0
serine	20	37
hydroxylase	20	12
dehydratase	20	9
pyrophosphatase	20	2
reductoisomerase	20	0
sece	20	0
aspartate-semialdehyde	20	0
udp-n-acetylenolpyruvoylglucosamine	20	0
undecaprenyl	20	0
lexa	20	0
ftsa	20	0
aldolase	19	34
repressor	19	19
5-phosphate	19	14
enolase	19	0
1-deoxy-d-xylulose	19	0
7-dimethyl-8-ribityllumazine	19	0
apolipoprotein	19	0
delta-aminolevulinic	19	0
phosphoglycerate	19	0
epsilon	19	0
s-adenosylmethionine	19	0
biotin	18	28
includes	18	5
peptidoglycan	18	3
initiator	18	2
menaquinone	18	2
ribose-phosphate	18	0
1-carboxyvinyltransferase	18	0
glutaminyl-trna	18	0
desuccinylase	18	0
hydroxymethyltransferase	18	0
ftsw	18	0
lipid	17	22
involved	17	3
dna-binding	17	2
beta-subunit	17	0
tyrosyl-trna	17	0
phosphopantetheine	17	0
cysteinyl-trna	17	0
tetraacyldisaccharide	17	0
4-dihydroxy-2-butanone	17	0
isoleucyl-trna	17	0
leucyl-trna	17	0
valyl-trna	17	0
ftsq	17	0
glycine-trna	17	0
4-hydroxybenzoate	17	0
pyrophosphokinase	16	17
methionyl-trna	16	17
bacterial	16	16
ribonucleoside-diphosphate	16	15
sigma	16	10
rrna	16	4
dnak	16	1
roda	16	0
succinyl-diaminopimelate	16	0
lipoprotein-releasing	16	0
processing	16	0
alanyl-trna	16	0
uncharacterized	15	21
asparaginyl-trna	15	4
seryl-trna	15	0
acetyl-coenzyme	15	0
glycoprotease	15	0
enoyl-	15	0
2-octaprenyl-6-methoxyphenol	15	0
3-deoxy-manno-octulosonate	15	0
malonyl	15	0
coa-acyl	15	0
transacylase	15	0
complex	14	15
type	14	10
-methyltransferase	14	9
sigma-70	14	2
ribd	14	2
rimm	14	0
geranyltranstransferase	14	0
cydd	14	0
lolb	14	0
msba	14	0
uridylate	14	0
protein-export	13	32
diphosphate	13	30
aminotransferase	13	9
integral	13	4
cycle	13	2
groes	13	0
-lysidine	13	0
releasing	13	0
secd	13	0
threonyl-trna	13	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	13	0
dihydrolipoamide	12	12
inner	12	10
dnaa	12	7
ubie	12	0
partition	12	0
glycyl-trna	12	0
secy	12	0
nusg	12	0
carboxyltransferase	12	0
octaprenyl-diphosphate	12	0
3-phosphate	12	0
n-acetylglucosamine	12	0
mutase	12	0
phosphoglucosamine	12	0
zipa	12	0
phosphopantothenoylcysteine	12	0
heat	11	29
shock	11	29
atpase	11	9
possible	11	8
udp-n-acetylmuramoylalanine--d-glutamate	11	0
proenzyme	11	0
3-octaprenyl-4-hydroxybenzoate	11	0
omega	11	0
2c-methyl-d-erythritol	11	0
glyceraldehyde	11	0
glucosamine--fructose-6-phosphate	11	0
udp-n-acetylmuramate	11	0
atp-dependent	10	18
single-strand	10	2
ftsi	10	1
pyrophosphorylase	10	0
pyrophosphoryl-undecaprenol	10	0
lolc	10	0
5-tetrahydropyridine-2-carboxylate	10	0
if-2	10	0
1-deoxy-d-xylulose-5-phosphate	10	0
ribf	10	0
mrec	10	0
nusa	10	0
ftsy	10	0
holliday	10	0
octaprenyl	10	0
sigma-32	10	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	10	0
1-deoxyxylulose-5-phosphate	10	0
junction	10	0
groel	10	0
periplasmic	9	9
region	9	9
fold	9	0
octaprenyltransferase	9	0
lipoic	9	0
glyceraldehyde-3-phosphate	9	0
guanine-n1	9	0
alanine	9	0
5-tetrahydropyridine-2	9	0
middle	9	0
udp-n-acetylglucosamine--n-acetylmuramyl-	9	0
glucosamine-1-phosphate	9	0
hydrolase	8	53
protease	8	16
core	8	15
superfamily	8	10
subunits	8	9
adp-heptose	8	8
acyl-carrier	8	4
lpta	8	2
polyphosphate	8	2
single-stranded	8	1
methenyltetrahydrofolate	8	0
1-acyl-sn-glycerol-3-phosphate	8	0
phenylalanine--trna	8	0
atp-nad	8	0
lole	8	0
abc-type	8	0
glycine--trna	8	0
resolvase	8	0
killing	8	0
carboxy-lyase	8	0
1-acyl-glycerol-3-phosphate	8	0
kicb	8	0
regulator	7	48
dihydrofolate	7	18
related	7	6
utilization	7	4
catalytic	7	4
with	7	3
exporter	7	2
metabolism	7	1
d-beta-d-heptose	7	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine	7	0
udp-n-acetylmuramate--l-alanine	7	0
6-diaminopimelate	7	0
udp-n-acetylmuramoylalanyl-d-glutamyl-2	7	0
monophosphatase	7	0
lipoyl	7	0
o-sialoglycoprotein	7	0
mesj	7	0
endopeptidase	7	0
mukb	7	0
10-methylene-tetrahydrofolate	7	0
dnac	7	0
outer-membrane	7	0
yfio	7	0
polyprenyl	7	0
inositol	7	0
rpod	7	0
terminal	6	12
acetyl	6	3
fused	6	3
transketolase	6	2
suppressor	6	1
7-phosphate	6	1
pentapeptide	6	0
6-dicarboxylate	6	0
cgta	6	0
partitioning	6	0
insertase	6	0
n-acetyltransferase	6	0
topo	6	0
o-acyltransferase	6	0
carboxypeptidase	6	0
yaet	6	0
membrane-specific	6	0
inositol-1-monophosphatase	6	0
alanyl	6	0
nicotinate-nucleotide	6	0
1-phosphate	6	0
nopimelate--d-alan	6	0
methylenetetrahydrofolate	6	0
6-dia	6	0
extragenic	6	0
folc	6	0
lola	6	0
pmm-family	6	0
dihydrolipoyl	6	0
suhb	6	0
uridine	6	0
transpeptidase	6	0
guanine-n	6	0
kica	6	0
cysteine	5	18
glycosyltransferase	5	7
sugar	5	5
threonylcarbamoyladenosine	5	5
small	5	4
enzymes	5	2
glycine	5	2
wall	5	2
synthesis	5	1
flavoprotein	5	1
hlde	5	0
geranylgeranyl	5	0
antigen	5	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	5	0
condensin	5	0
udp-n-acetylmuramoyl-l-alanine	5	0
undecaprenyldiphospho-muramoylpentapeptide	5	0
glutamate--trna	5	0
condesin	5	0
particle-docking	5	0
d-glutamate	5	0
glmu	5	0
adenosyltransferase	5	0
solvent	4	19
organic	4	19
tolerance	4	19
uroporphyrinogen-iii	4	8
metalloprotease	4	7
exonuclease	4	6
chloroplast	4	6
pyrimidine	4	4
ethanolamine	4	4
biogenesis	4	4
triphosphate	4	2
hsp70	4	2
pp-loop	4	2
glycosyl	4	2
l10e	4	2
ribonucleotide	4	2
primosome	4	1
-binding	4	1
3-deoxy-d-manno-octulosonate	4	1
-epimerase	4	0
5-phosphoribosylamino	4	0
4-dihydroxy-2-butanone-4-phosphate	4	0
proline--trna	4	0
6-diami	4	0
lantibiotic	4	0
emap	4	0
minopimelate	4	0
methionine--trna	4	0
bacteriocin	4	0
heptose	4	0
minopim	4	0
ef-ts	4	0
isoleucine--trna	4	0
leucine--trna	4	0
threonine--trna	4	0
glutamine--trna	4	0
double-glycine	4	0
pantetheine-phosphate	4	0
penicillin	4	0
5-amino-6-	4	0
alanine--trna	4	0
tyrosine--trna	4	0
srp54-type	4	0
uncharacterised	4	0
asparagine--trna	4	0
pria	4	0
ubib	4	0
c-terminus	4	0
nicotinic	4	0
cpn60	4	0
cysteine--trna	4	0
exporters	4	0
ftsx-like	4	0
n-acetylmuramyl-	4	0
contain	4	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	4	0
ugmp	4	0
rpoh	4	0
mononucleotide	4	0
glutamyl-	4	0
diaminohydroxyphosphoribosylaminopyrimidine	4	0
valine--trna	4	0
serine--trna	4	0
lold	4	0
yidc	4	0
uracil	4	0
transcriptional	3	27
acetyltransferase	3	21
function	3	8
homolog	3	5
modification	3	3
metallopeptidase	3	3
molecular	3	2
archaeal	3	2
metal-dependent	3	2
ribonucleotide-diphosphate	3	2
permeases	3	2
structural	3	2
prime	3	1
alternative	3	0
nicotinamide	3	0
phosphopantothenate	3	0
mukf	3	0
lipoate	3	0
nicotinate	3	0
hexapeptide	3	0
udp-n-acetylmuramyl-tripeptide	3	0
protective	3	0
nine	3	0
complexes	3	0
-monophosphate	3	0
tetrahydrofolate	3	0
2-polyprenylphenol	3	0
semialdehyde	3	0
grol	3	0
udp-n-acetylmuramate--alanine	3	0
poly-cis-decaprenylcistransferase	3	0
phosphopantothenate--cysteine	3	0
ftsh	3	0
oma87	3	0
tetraacyldisaccharide-1-p	3	0
di-trans	3	0
ef-g	3	0
beta-n-acetylglucosaminyltransferase	3	0
nucleotide-binding	3	0
phosphopyruvate	3	0
1-acylglycerol-3-phosphate	3	0
mukbef	3	0
nucleotide	3	0
glutathione	3	0
hflb	3	0
penta	3	0
l22p	3	0
l-carboxyvinyltransferase	3	0
cpn10	3	0
yeaz	3	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate	3	0
large	3	0
hydratase	3	0
abc1	3	0
also	3	0
l14p	3	0
6-carboxylate	3	0
oxidoreductase	3	0
6-hydroxylase	3	0
l16p	3	0
rrna-processing	3	0
repeats	3	0
co-chaperonin	3	0
isomerizing	3	0
phosphopantothenate-cysteine	3	0
oxidase	2	52
peptide	2	43
cytochrome	2	40
phosphoglucomutase	2	21
2-oxoglutarate	2	20
regulatory	2	18
rnase	2	15
unknown	2	8
site	2	7
proteins	2	6
zinc	2	5
aspartyl	2	4
nad+	2	3
ribosome-associated	2	3
control	2	3
implicated	2	2
propionyl-coa	2	2
barrel	2	2
yjgp	2	2
epimerase	2	2
yjgq	2	2
surface	2	2
diphosphokinase	2	2
associated	2	2
phosphomannomutase	2	2
lptbfgc	2	2
septal	2	1
maintenance	2	1
merops	2	1
3-oxoacyl-acp	2	1
ring	2	1
resistance	2	1
lysophospholipase	2	0
radical	2	0
aminoacylase	2	0
lumazine	2	0
ygbb	2	0
istb-like	2	0
resolvase-like	2	0
phosphoribosyl	2	0
l-alanine-dl-glutamate	2	0
hslvu	2	0
transaminase	2	0
chromosome-related	2	0
spore	2	0
omp85	2	0
sec61	2	0
substance	2	0
tigr00250	2	0
osta-like	2	0
co-enzyme	2	0
upf0081	2	0
p-loop	2	0
bamabcde	2	0
upf0007	2	0
n-terminus	2	0
rpb2	2	0
ptide	2	0
prokaryotic	2	0
uro-d	2	0
lptg	2	0
traf	2	0
succinyldiaminopimelate	2	0
phospho-n-acetylmuramoyl-pentapeptide-	2	0
oxa1	2	0
dnai	2	0
gtp1	2	0
ubid	2	0
cofactor	2	0
lptb	2	0
muke	2	0
fatty	2	0
thiol	2	0
ubia	2	0
prenyltransferase	2	0
coq5	2	0
l-glutamine	2	0
daunorubicin	2	0
phosphoribulokinase	2	0
pyridoxal-phosphate-dependent	2	0
dipyromethane	2	0
l17e	2	0
pathway	2	0
sec61-gamma	2	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate--2	2	0
amidotransferase	2	0
saga	2	0
gtpases	2	0
8-amino-7-oxononanoate	2	0
carboxytransferase	2	0
tfiid	2	0
glutamine	2	0
o-acyltransferases	2	0
s24-like	2	0
phenylalanine	2	0
l18e	2	0
trna-	2	0
amino	2	0
phers	2	0
tcp-1	2	0
pyridine	2	0
dead	2	0
taf12	2	0
dnab-like	2	0
nucleotide-disulphide	2	0
reductant	2	0
localization	2	0
polyprenyltransferase	2	0
coat	2	0
histidinol-phosphatase	2	0
elongation-specific	2	0
fole	2	0
d-fructose-6-phosphate	2	0
muke-like	2	0
2-polyprenyl-6-methoxyphenol	2	0
2-octaprenyl-6-methoxyphenyl	2	0
6-diam	2	0
ftsz-binding	2	0
amidase	2	0
universal	2	0
folb	2	0
4-hydroxylase	2	0
spase	2	0
2-octaprenylphenol	2	0
zn-finger	2	0
tetrahydrodipicolinate	2	0
stage	2	0
carbon-nitrogen	2	0
polysaccharide	2	0
6-di	2	0
3-phosphoglycerate	2	0
l23e	2	0
solanesyl	2	0
methionine	2	0
groesl	2	0
farnesyl	2	0
translocation	2	0
60kd	2	0
epsp	2	0
histone	2	0
non-essential	2	0
deah	2	0
flavodoxin-1	2	0
srp54	2	0
sporulation	2	0
3-phosphoshikimate	2	0
hydroxymethylbilane	2	0
zuotin	2	0
cyddc	2	0
symporter	2	0
yqgf	2	0
cytidylate	2	0
if2-alpha	2	0
diphosphorylase	2	0
beta-n-	2	0
guanine-1	2	0
upf0079	2	0
carbamoylphosphate	2	0
secretory	2	0
7-keto-8-aminopelargonate	2	0
heptaprenyl	2	0
cyclohydrolase-2	2	0
decarboxylases	2	0
3-polyprenyl-4-hydroxybenzoate	2	0
guanine	2	0
coenzyme	2	0
pyocin	2	0
factors	2	0
