clust-2	endo-clust140	entero-clust864	gamma-clust294	ABC transporters	YJGQ	permease YjgP YjgQ family protein
clust-3	endo-clust411	gamma-clust546	entero-clust2918	-	BSSS	Biofilm formation regulatory protein BssS
clust-8	endo-clust272	entero-clust1679	gamma-clust151	Two-component system	BAER	regulatoR
clust-11	gamma-clust1036	entero-clust272	endo-clust58	-	YTFM	surface antigen
clust-13	entero-clust1571	endo-clust346	gamma-clust859	Sulfur metabolism /Metabolic pathways /Microbial metabolism in diverse environments	CYSH	Reduction of activated sulfate into sulfite (By similarity)
clust-19	endo-clust167	gamma-clust1246	entero-clust452	Purine metabolism /Alanine, aspartate and glutamate metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	PURB	adenylosuccinate lyase
clust-35	gamma-clust424	entero-clust2346	endo-clust423	Phosphonate and phosphinate metabolism /Biosynthesis of antibiotics	YNCA	N-acetyltransferase
clust-41	gamma-clust1045	entero-clust1630	endo-clust227	-	PILC	type IV pilin biogenesis protein
clust-49	gamma-clust317	entero-clust977	endo-clust146	-	YEIB	membrane
clust-52	endo-clust113	gamma-clust54	entero-clust810	-	YBDN	Domain of unknown function (DUF3440)
clust-63	entero-clust48	endo-clust11	gamma-clust11	-	PTRA	peptidase
clust-66	endo-clust449	entero-clust1833	gamma-clust395	-	-	-
clust-79	gamma-clust1287	endo-clust473	entero-clust3680	-	-	-
clust-81	entero-clust2097	endo-clust331	gamma-clust1123	entero-clust2322	-	YEAM	transcriptional regulator
clust-86	endo-clust363	gamma-clust1035	entero-clust1336	Ascorbate and aldarate metabolism /Metabolic pathways /Microbial metabolism in diverse environments	SGAU	L-xylulose 5-phosphate 3-epimerase
clust-87	entero-clust922	endo-clust183	gamma-clust99	-	MLTC	Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division
clust-89	endo-clust580	entero-clust2385	gamma-clust877	Porphyrin and chlorophyll metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	HEMG	Protoporphyrinogen oxidase
clust-91	entero-clust1227	endo-clust206	gamma-clust242	-	ACRE	RND Family Efflux Transporter MFP Subunit
clust-92	endo-clust196	gamma-clust1030	entero-clust1709	-	YBGF	tol-pal system protein YbgF
clust-94	entero-clust1491	gamma-clust363	endo-clust217	Pentose and glucuronate interconversions /Fructose and mannose metabolism /Microbial metabolism in diverse environments	RHAD	Catalyzes the reversible cleavage of L-rhamnulose-1- phosphate to dihydroxyacetone phosphate (DHAP) and L-lactaldehyde (By similarity)
clust-95	endo-clust526	entero-clust3526	gamma-clust1286	-	-	-
clust-97	endo-clust459	entero-clust3789	gamma-clust518	-	-	-
clust-98	gamma-clust1061	endo-clust592	entero-clust3975	-	-	-
clust-100	entero-clust3853	gamma-clust479	endo-clust559	-	-	-
clust-103	endo-clust558	gamma-clust1292	entero-clust3506	-	-	-
clust-108	gamma-clust511	entero-clust3326	endo-clust529	-	-	-
clust-111	entero-clust273	endo-clust35	gamma-clust160	ABC transporters /Bacterial chemotaxis	DPPA	Extracellular solute-binding protein, family 5
clust-112	endo-clust477	entero-clust3714	gamma-clust376	-	-	-
clust-115	entero-clust3611	gamma-clust495	endo-clust574	-	-	-
clust-116	gamma-clust978	endo-clust613	entero-clust4215	-	-	-
clust-117	endo-clust14	entero-clust176	gamma-clust39	-	YHES	abc transporter atp-binding protein
clust-119	gamma-clust1167	endo-clust4	entero-clust98	-	YICI	the transfer of alpha-xylosyl residue from alpha-xyloside to xylose, glucose, mannose, fructose, maltose, isomaltose, nigerose, kojibiose, sucrose, and trehalose
clust-122	entero-clust879	gamma-clust234	endo-clust63	Glyoxylate and dicarboxylate metabolism /Butanoate metabolism	YEAU	Tartrate dehydrogenase
clust-123	gamma-clust820	entero-clust2568	endo-clust286	-	YCHJ	SEC-C motif
clust-124	gamma-clust230	entero-clust1861	endo-clust328	-	YGIB	UPF0441 protein
clust-125	endo-clust85	gamma-clust225	entero-clust256	Pyrimidine metabolism /Metabolic pathways	PYRG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)
clust-127	entero-clust1675	gamma-clust286	endo-clust212	-	YHEO	YheO domain protein
clust-132	endo-clust469	gamma-clust306	entero-clust2929	-	YJBD	Conserved protein
clust-148	endo-clust485	gamma-clust864	entero-clust1424	-	YBIY	activating enzyme
clust-151	endo-clust247	gamma-clust448	entero-clust1536	Arginine and proline metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics /Biosynthesis of amino acids	PROC	pyrroline-5-carboxylate reductase
clust-160	gamma-clust472	endo-clust480	entero-clust2989	-	YOBA	resistance protein
clust-178	endo-clust463	entero-clust3500	gamma-clust384	-	-	-
clust-179	entero-clust3112	endo-clust508	gamma-clust475	-	YCEI	UPF0312 protein
