WORD	NON_ESSENTIAL	Not
NA	862	809
Transcriptional regulator	772	325
(ABC) transporter	473	68
transporter	337	132
transcriptional regulator	323	77
membrAne	287	166
membrane	223	81
(Lipo)protein	222	112
Histidine kinase	175	33
Transposase	166	249
cytoplasmic protein	159	91
Conserved protein	153	55
abc transporter atp-binding protein	152	52
exported protein	149	34
alcohol dehydrogenase	135	13
Major Facilitator	134	27
LysR family transcriptional regulator	124	31
regulatoR	120	30
Major Facilitator Superfamily	107	26
Glutathione S-transferase	97	10
Oxidoreductase	96	15
Dehydrogenase	93	18
Pseudouridine synthase	93	13
dehydrogenase	91	8
reductase	90	36
permease	89	16
methyltransferase	89	10
binding-protein-dependent transport systems inner membrane component	89	5
peptidase	86	5
hydrolase	79	25
pts system	78	11
Resistance protein	78	5
receptor	77	9
Integrase	74	40
aldo keto reductase	74	7
acetyltransferase	73	41
decarboxylase	73	7
transport protein	70	26
Putrescine ABC transporter	68	10
outer membrane usher protein	67	42
domain protein	67	14
ABC transporter	66	16
Diguanylate cyclase	65	37
NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)	65	11
Aldolase	61	6
lysr family transcriptional regulator	59	15
ErfK YbiS YcfS YnhG family protein	58	10
phosphatase	57	12
ABC transporter (Permease)	57	1
Extracellular solute-binding protein, family 5	56	3
response regulator	54	31
Peptidyl-prolyl cis-trans isomerase	54	28
esterase	54	1
Fimbrial protein	53	71
(LipO)protein	53	16
chaperone	52	66
Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)	52	13
methyl-accepting chemotaxis	50	16
Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed (By similarity)	50	4
N-acetylmuramoyl-L-alanine amidase	50	2
D-alanyl-D-alanine carboxypeptidase	49	1
PTS System	48	22
Short chain dehydrogenase	48	2
protease	47	23
Peptidase U32	47	5
ATP-dependent RNA helicase	47	4
transporter, permease	46	14
Gluconate transporter	46	10
Fimbrial	45	41
Mechanosensitive ion channel	44	34
acyl-CoA dehydrogenase	43	10
periplasmic	43	4
Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)	43	2
tail protein	40	11
Gcn5-related n-acetyltransferase	40	10
Aminotransferase	40	7
Transcriptional	39	18
Isochorismatase	39	10
Diguanylate cyclase phosphodiesterase	39	9
acetolactate synthase	39	4
formate dehydrogenase, alpha subunit	39	3
nitrate reductase	39	3
Lytic Murein transglycosylase	39	0
Periplasmic protein	38	16
transport system permease protein	38	10
propanediol utilization protein	37	6
Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system (By similarity)	37	4
epimerase	37	3
Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity)	37	2
Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)	37	2
Glycerate kinase	37	1
AsmA family	37	1
regulatory protein	36	15
two component, sigma54 specific, transcriptional regulator, Fis family	36	9
Cysteine synthase	36	3
Mannitol dehydrogenase	36	2
RND Family Efflux Transporter MFP Subunit	35	8
short-chain dehydrogenase reductase	35	4
Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)	35	4
L-serine dehydratase	35	1
type iii secretion	34	75
Part of the ABC transporter complex RbsABCD involved in ribose import. Responsible for energy coupling to the transport system (By similarity)	34	14
Lipoprotein	34	6
Cold shock protein	33	24
bacteriophage protein	33	12
nitrilase cyanide hydratase and apolipoprotein n-acyltransferase	33	8
Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)	33	6
Permease protein	33	5
sulfate ABC transporter	33	5
p-type atpase	33	0
Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)	32	11
DNA polymerase	32	3
branched-chain amino acid	32	1
Sulfatase	31	23
Transcriptional Regulator AraC Family	31	13
6-phospho-beta-glucosidase	31	11
Universal stress protein	31	10
glyoxalase bleomycin resistance protein dioxygenase	31	7
Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)	31	5
Pts system, glucitol sorbitol-specific	31	3
Dehydratase	30	6
Exonuclease	30	5
Catalyzes the reversible retro-aldol cleavage of both 5- keto-4-deoxy-D-glucarate and 2-keto-3-deoxy-D-glucarate to pyruvate and tartronic semialdehyde (By similarity)	30	4
Cell wall formation (By similarity)	29	35
Baseplate Assembly protein	29	13
Alpha beta hydrolase	29	12
synthase	29	10
response to DNA damage stimulus	28	21
Transketolase	28	2
Aromatic amino acid aminotransferase	28	0
oxidoreductase	28	0
Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)	27	39
GntR Family Transcriptional Regulator	27	22
Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)	27	18
Major facilitator superfamily	27	15
Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)	27	8
Amino Acid	27	8
RND efflux system, outer membrane lipoprotein	27	7
coproporphyrinogen III oxidase	27	6
The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane (By similarity)	27	5
L-asparaginase	27	4
flagellar hook-associated protein	27	3
Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity)	27	1
Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity)	27	1
carbamate kinase	27	0
Outer membrane lipoprotein	26	30
HAD-superfamily hydrolase subfamily IA variant 3	26	13
Multidrug resistance protein	26	5
Arabinose 5-phosphate isomerase	26	4
(ROK) family	26	2
Isochorismate synthase	26	0
paraquat-inducible protein A	26	0
Cysteine desulfurase	26	0
transcriptional regulatory protein	25	39
minor tail protein	25	14
L-ribulose-5-phosphate 4-epimerase	25	11
(EAL) domain protein	25	9
Two component transcriptional regulator, winged helix family	25	4
Helicase	25	3
ABc transporter ATP-binding protein	25	2
Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide (By similarity)	25	2
