word	p-value	corrected-p-value
(ABC) transporter	4.06211463037517e-26	1.83363854415135e-22
alcohol dehydrogenase	1.60028390816207e-11	3.61184078072179e-08
binding-protein-dependent transport systems inner membrane component	2.47092770847398e-10	3.71792255868385e-07
peptidase	6.7039907623032e-10	7.56545357525916e-07
ABC transporter (Permease)	5.32682164574685e-09	4.80905458178026e-06
transcriptional regulator	6.73804779318075e-09	5.06925795640298e-06
Resistance protein	9.33823813954654e-09	6.02182956598759e-06
dehydrogenase	1.26416708224851e-08	7.13306276158721e-06
esterase	1.61278826725555e-08	8.08902915376841e-06
Glutathione S-transferase	2.7263915628301e-08	1.23069315146151e-05
Histidine kinase	8.62077031554291e-08	3.53765065494188e-05
D-alanyl-D-alanine carboxypeptidase	1.01536477495186e-07	3.81946382844392e-05
methyltransferase	2.72356319461074e-07	9.32761085538584e-05
Lytic Murein transglycosylase	2.89292317180775e-07	9.32761085538584e-05
Extracellular solute-binding protein, family 5	4.87529951551491e-07	0.000146714013420229
aldo keto reductase	5.79517920248418e-07	0.000162288737227134
N-acetylmuramoyl-L-alanine amidase	6.11189307235551e-07	0.000162288737227134
decarboxylase	7.81523318284115e-07	0.000195988681040805
Short chain dehydrogenase	1.22668651220346e-06	0.000291434890320337
Pseudouridine synthase	2.10387226051599e-06	0.000474843969198458
receptor	2.61494440052496e-06	0.000562088524950938
p-type atpase	2.93521518121857e-06	0.000602252787637302
Oxidoreductase	6.07462580163044e-06	0.0011922113421113
Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)	6.90499521139628e-06	0.00129871451601012
Aldolase	7.93190455566683e-06	0.00134586534444931
Glycerate kinase	8.05014716440657e-06	0.00134586534444931
AsmA family	8.05014716440657e-06	0.00134586534444931
Major Facilitator	8.94523561020406e-06	0.00144209976944504
pts system	1.54666856606702e-05	0.00240746962318156
Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed (By similarity)	1.63672409381221e-05	0.00241110907012678
L-serine dehydratase	1.65583476238215e-05	0.00241110907012678
Aromatic amino acid aminotransferase	2.02361178181418e-05	0.00276805563124521
oxidoreductase	2.02361178181418e-05	0.00276805563124521
carbamate kinase	2.97724033341007e-05	0.00395272437206267
exported protein	3.20694158601899e-05	0.00413603837693992
ATP-dependent RNA helicase	4.16634088958275e-05	0.00506983646874536
Isochorismate synthase	4.38023088792798e-05	0.00506983646874536
paraquat-inducible protein A	4.38023088792798e-05	0.00506983646874536
Cysteine desulfurase	4.38023088792798e-05	0.00506983646874536
branched-chain amino acid	4.85874349054993e-05	0.00548309202908559
Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity)	5.32365372653124e-05	0.00572166021941953
Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)	5.32365372653124e-05	0.00572166021941953
citrate synthase	6.44431154627303e-05	0.0064643605155281
branched-chain amino acid ABC transporter	6.44431154627303e-05	0.0064643605155281
One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions (By similarity)	6.44431154627303e-05	0.0064643605155281
permease	7.18129265031303e-05	0.0070470337007637
Mannitol dehydrogenase	7.45332677822968e-05	0.00715836533551676
Putrescine ABC transporter	8.02907503780386e-05	0.00755067598346805
Nitrate reductase 2 alpha	9.48096335081897e-05	0.00839158207168565
small subunit	9.48096335081897e-05	0.00839158207168565
large subunit	9.48096335081897e-05	0.00839158207168565
Dehydrogenase	0.000125018645397121	0.0107381487096081
formate dehydrogenase, alpha subunit	0.000128458136978032	0.0107381487096081
nitrate reductase	0.000128458136978032	0.0107381487096081
activating enzyme	0.000139484138048771	0.01143074401596
periplasmic	0.000141808078177616	0.01143074401596
Peptidase U32	0.000146067851285546	0.0115675487842624
glutathionylspermidine synthase	0.000205207672147153	0.0159708177943491
epimerase	0.00024141076743655	0.0184699695628574
Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity)	0.000287252112264992	0.0212566563076094
Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity)	0.000287252112264992	0.0212566563076094
ornithine carbamoyltransferase	0.000301896988126504	0.0216311588000483
abc transporter permease protein	0.000301896988126504	0.0216311588000483
Cysteine synthase	0.00033009403398611	0.0232819448345828
NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)	0.000396852352713901	0.0275598695407777
Transcriptional regulator, LysR family	0.000444140505645909	0.0303765188255399
acetolactate synthase	0.000469504292512739	0.0316319757672016
Catalyzes the formation of a hydroxyacyl-CoA by addition of water on enoyl-CoA. Also exhibits 3-hydroxyacyl-CoA epimerase and 3-hydroxyacyl-CoA dehydrogenase activities (By similarity)	0.000580463280048993	0.0349361499485487
Conversion of pppGpp to ppGpp. Guanosine pentaphosphate (pppGpp) is a cytoplasmic signaling molecule which together with ppGpp controls the stringent response , an adaptive process that allows bacteria to respond to amino acid starvation, resulting in the coordinated regulation of numerous cellular activities (By similarity)	0.000580463280048993	0.0349361499485487
succinate dehydrogenase, flavoprotein subunit	0.000580463280048993	0.0349361499485487
Aspartokinase	0.000580463280048993	0.0349361499485487
Carbon starvation protein	0.000580463280048993	0.0349361499485487
Fumarate hydratase (Fumerase)	0.000580463280048993	0.0349361499485487
Catalyzes both the ATP-dependent activation of exogenously supplied lipoate to lipoyl-AMP and the transfer of the activated lipoyl onto the lipoyl domains of lipoate-dependent enzymes (By similarity)	0.000580463280048993	0.0349361499485487
