word	p-value	corrected-p-value
NA	3.3145778818661e-68	1.49620045587436e-64
pct identical to residues 1 to 169 of 169 from GenPept gb AAC82673.1 (AF074611) transposase Yersinia pestis	1.38368605093002e-49	3.12297941694905e-46
Transposase	5.08097905737074e-46	7.64517982165717e-43
type iii secretion	9.28914818586768e-22	1.04828037277517e-18
ferritin	2.10274075405142e-15	1.58196196063135e-12
Inhibits RpoS proteolysis by regulating RssB activity, thereby increasing the stability of the sigma stress factor RpoS especially during phosphate starvation, but also in stationary phase and during nitrogen starvation. Its effect on RpoS stability is due to its interaction with RssB, which probably blocks the interaction of RssB with RpoS, and the consequent delivery of the RssB-RpoS complex to the ClpXP protein degradation pathway (By similarity)	2.10274075405142e-15	1.58196196063135e-12
Fimbrial protein	3.87140640794922e-15	2.49650407506897e-12
deoxyguanosinetriphosphate triphosphohydrolase-like protein	3.43162626023878e-13	1.72115121541309e-10
Biofilm formation regulator YbaJ	3.43162626023878e-13	1.72115121541309e-10
biofilm-dependent modulation protein	3.81822352736589e-13	1.72354610025296e-10
ISPsy5, Orf1	1.66323060876247e-12	6.8252936072307e-10
PipA protein	2.58685737374239e-11	9.73089515422764e-09
Integrase core domain protein	6.92719689619616e-11	2.23352619924496e-08
Protein of unknown function (DUF2574)	6.92719689619616e-11	2.23352619924496e-08
Uncharacterized protein YjeJ	2.95209439759511e-10	8.32859631921519e-08
Acid-resistance protein	2.95209439759511e-10	8.32859631921519e-08
chaperone	4.05603065141303e-10	1.07699543296932e-07
is1 transposase	6.37983731729166e-10	1.53577776602903e-07
Outer membrane protease	6.46428390663528e-10	1.53577776602903e-07
Influences nickel and cobalt homeostasis. May act by modulating RcnA-mediated export of these ions to avoid excess efflux. Not involved in nickel import and does not bind nickel or cobalt ions directly	1.1930123264998e-09	2.56440840086672e-07
membrane lipoprotein	1.1930123264998e-09	2.56440840086672e-07
arylsulfate sulfotransferase	1.92857841179724e-09	3.9570922503876e-07
ISCro1 transposase A	7.21986054331681e-09	1.3108218395523e-06
phage shock protein E	7.84053825164203e-09	1.3108218395523e-06
osmotically inducible lipoprotein	7.84053825164203e-09	1.3108218395523e-06
Microcompartments protein	7.84053825164203e-09	1.3108218395523e-06
Transcriptional activatory protein CaiF	7.84053825164203e-09	1.3108218395523e-06
glycine, betaine	1.23861157217777e-08	1.99681879886088e-06
frv operon regulatory protein	2.71015744531808e-08	4.2185002441951e-06
Invasion protein	3.40602988659864e-08	5.12493963603542e-06
Catalyzes the dephosphorylation of heptose(II) of the outer membrane lipopolysaccharide core (By similarity)	3.66169776955561e-08	5.13920245461346e-06
Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)	3.75705983611529e-08	5.13920245461346e-06
Ferrous iron transport protein A	3.75705983611529e-08	5.13920245461346e-06
Curli are coiled surface structures that assemble preferentially at growth temperatures below 37 degrees Celsius. Curli can bind to fibronectin	1.25414422189668e-07	1.66180191265643e-05
Pfam:Ins_element1	1.28850391987096e-07	1.66180191265643e-05
Mechanosensitive ion channel	1.63770745280045e-07	2.00756097397925e-05
RICIN	1.69001588416508e-07	2.00756097397925e-05
Lysozyme inhibitor	1.69001588416508e-07	2.00756097397925e-05
Sel1 repeat	2.2912570105387e-07	2.65198311424915e-05
Diguanylate phosphodiesterase	3.94483394851286e-07	4.45174511089676e-05
Maltose O-acetyltransferase	8.53711733948319e-07	8.37751036313633e-05
fimbrial-like adhesin protein	8.53711733948319e-07	8.37751036313633e-05
Involved in O antigen modification. Involved in the translocation of bactoprenol-linked glucose across the cytoplasmic membrane (By similarity)	8.53711733948319e-07	8.37751036313633e-05
Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs	8.53711733948319e-07	8.37751036313633e-05
Biofilm formation regulatory protein BssS	8.53711733948319e-07	8.37751036313633e-05
fimbrial protein	8.53711733948319e-07	8.37751036313633e-05
Plays a role in the extracellular assembly of CsgA into thin aggregative fimbriae (Tafi) fibers. Assembly may also require CsgE. Tafi are thought to be assembled via an extracellular nucleation-precipitation (ENP) pathway, and possibly also via an intracellular non-CsgC-dependent pathway (By similarity)	1.23194947956903e-06	0.000115854582307804
damage-inducible protein	1.23194947956903e-06	0.000115854582307804
membrAne	1.32882076735988e-06	0.000122414223344132
outer membrane autotransporter barrel	1.86107669100617e-06	0.000168018003664037
bacteriophage lambda Bor protein homolog	2.2741146822078e-06	0.0001974106476055
chitinase EC 3.2.1.14	2.2741146822078e-06	0.0001974106476055
dtdp-glucose 4,6-dehydratase	2.38080868604365e-06	0.000199017970533352
PTS system ascorbate-specific transporter subunit IIC	2.38080868604365e-06	0.000199017970533352
colanic acid biosynthesis acetyltransferase wcaF	3.16838582998291e-06	0.000260038066118961
Sel1 domain protein repeat-containing protein	5.45262368300346e-06	0.000439520416162101
Pfam:DUF1813	6.96345606664853e-06	0.000535064472902069
