WORD	Ecoli	Not
protein	765	194
ribosomal	397	61
subunit	282	65
synthetase	145	53
synthase	129	37
ligase	107	31
domain	105	29
kinase	102	18
factor	91	53
alpha	76	8
polymerase	75	29
cell	72	27
family	63	20
division	61	23
trna	57	17
beta	55	22
membrane	48	19
transferase	42	14
lipoprotein	41	13
carboxylase	41	9
topoisomerase	39	9
signal	37	1
elongation	35	4
translation	34	19
transcription	31	0
outer	30	7
gyrase	30	2
binding	29	2
transporter	28	9
peptidase	28	2
reductase	27	33
system	27	6
class	26	18
synthetases	26	10
decarboxylase	26	0
initiation	25	13
gtpase	24	9
predicted	24	8
carrier	23	11
atp-binding	23	6
translocase	23	4
permease	22	16
acetyl-coa	22	8
c-terminal	22	2
delta	22	0
biosynthesis	21	8
dehydrogenase	21	2
riboflavin	21	2
replication	21	0
preprotein	20	3
putative	19	8
lipopolysaccharide	19	7
adenylyltransferase	19	0
dna-directed	18	10
export	18	8
termination	18	0
bifunctional	18	0
shape-determining	17	16
inorganic	17	0
hypothetical	16	7
transmembrane	16	1
glutamyl-trna	16	0
acyltransferase	16	0
recognition	16	0
deaminase	15	11
n-terminal	14	6
lipid	14	3
cyclohydrolase	14	0
chain	13	13
assembly	13	7
acyl	13	1
penicillin-binding	13	0
dephospho-coa	13	0
pyrophosphokinase	13	0
helicase	13	0
pantothenate	13	0
guanylate	13	0
carboxyl	12	10
involved	12	2
-kinase	12	0
ftsz	12	0
lipoprotein-releasing	12	0
-methyltransferase	12	0
ferrochelatase	12	0
particle	12	0
chromosome	12	0
gtp-binding	11	15
type	11	4
atpase	11	4
phosphatidylserine	11	4
glycerol-3-phosphate	11	2
pyrophosphatase	11	2
pyrophosphate	11	2
reductoisomerase	11	0
1-deoxy-d-xylulose	11	0
prolyl-trna	11	0
aspartate-semialdehyde	11	0
4-cyclodiphosphate	11	0
flavodoxin	11	0
undecaprenyl	11	0
adenylate	11	0
chromosomal	11	0
replicative	11	0
enolase	11	0
folylpolyglutamate	11	0
thymidylate	11	0
diacylglyceryl	11	0
5-phosphate	11	0
if-1	11	0
udp-n-acetylenolpyruvoylglucosamine	11	0
prolipoprotein	11	0
component	10	15
probable	10	5
uncharacterized	10	4
peptidoglycan	10	2
porphobilinogen	10	1
udp-n-acetylglucosamine	10	1
phenylalanyl-trna	10	0
antitermination	10	0
ftsa	10	0
n-acyltransferase	10	0
initiator	10	0
lipid-a-disaccharide	10	0
cluster	10	0
7-dimethyl-8-ribityllumazine	10	0
sece	10	0
bacterial	9	4
3-octaprenyl-4-hydroxybenzoate	9	0
phosphoglucosamine	9	0
-lysidine	9	0
secy	9	0
apolipoprotein	9	0
lolb	9	0
dnaa	9	0
phosphoglycerate	9	0
nusg	9	0
middle	9	0
mutase	9	0
