WORD	Salmonellacitrobacter	Not
protein	591	249
subunit	308	67
ribosomal	243	81
synthetase	124	48
synthase	65	21
hypothetical	64	38
cell	64	0
conserved	59	32
division	58	0
factor	54	47
polymerase	49	22
membrane	49	19
kinase	48	7
chain	44	7
alpha	41	0
ligase	28	7
transferase	27	7
riboflavin	27	0
probable	26	12
beta	26	7
carboxylase	22	0
lipoprotein	21	7
biosynthesis	21	7
atp-binding	21	0
signal	21	0
precursor	20	13
carrier	20	6
transporter	19	0
outer	18	1
transcription	17	0
udp-n-acetylglucosamine	17	0
putative	16	20
shape-determining	14	14
gtp-binding	14	14
replication	14	7
translocase	14	7
dna-directed	14	7
preprotein	14	7
initiation	14	7
topoisomerase	14	7
gyrase	14	0
penicillin-binding	14	0
elongation	14	0
acyltransferase	14	0
beta-subunit	14	0
delta	14	0
peptidase	14	0
pyrophosphokinase	14	0
glycine-trna	14	0
reductase	13	8
shock	13	4
heat	13	4
transport	12	2
phenylalanyl-trna	12	0
glutamyl-trna	12	0
integral	12	0
dehydrogenase	10	15
cyclohydrolase	10	6
antitermination	9	0
termination	9	0
trna	8	16
inorganic	8	0
-kinase	8	0
adenylyltransferase	8	0
carboxyl	8	0
acetyl-coenzyme	8	0
4-phosphate	7	7
decarboxylase	7	7
ubiquinone	7	7
inner	7	6
biotin	7	1
deaminase	7	1
sigma-70	7	0
coa-acyl	7	0
glucosamine--fructose-6-phosphate	7	0
prolyl-trna	7	0
if-1	7	0
valyl-trna	7	0
ribose-phosphate	7	0
1-acyl-glycerol-3-phosphate	7	0
roda	7	0
aspartate-semialdehyde	7	0
sece	7	0
4-cyclodiphosphate	7	0
ftsa	7	0
ftsw	7	0
ftsq	7	0
flavodoxin	7	0
ftsz	7	0
apolipoprotein	7	0
undecaprenyl	7	0
nucleotidohydrolase	7	0
adenylate	7	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	7	0
porphobilinogen	7	0
chromosomal	7	0
leucyl-trna	7	0
glycerol-3-phosphate	7	0
pyrophosphatase	7	0
1-deoxyxylulose-5-phosphate	7	0
n-acyltransferase	7	0
tyrosyl-trna	7	0
initiator	7	0
octaprenyl-diphosphate	7	0
seryl-trna	7	0
glutaminyl-trna	7	0
replicative	7	0
phosphatidylserine	7	0
pyrophosphate	7	0
phosphoglycerate	7	0
acetyl-coa	7	0
4-dihydroxy-2-butanone	7	0
aminotransferase	7	0
lipid-a-disaccharide	7	0
malonyl	7	0
phosphopantetheine	7	0
diacylglyceryl	7	0
ferrochelatase	7	0
-triphosphate	7	0
7-dimethyl-8-ribityllumazine	7	0
groes	7	0
particle	7	0
tetraacyldisaccharide	7	0
asparaginyl-trna	7	0
recognition	7	0
udp-n-acetylenolpyruvoylglucosamine	7	0
omega	7	0
transacylase	7	0
isoleucyl-trna	7	0
deoxyuridine	7	0
4-hydroxybenzoate	7	0
helicase	7	0
pantothenate	7	0
glycoprotease	7	0
proenzyme	7	0
guanylate	7	0
prolipoprotein	7	0
acyl	6	12
methyltransferase	6	9
component	6	7
methionyl-trna	6	7
thymidylate	6	7
protein-export	6	6
chloroplast	6	4
possible	6	4
reductoisomerase	6	0
alanyl	6	0
1-deoxy-d-xylulose	6	0
mesj	6	0
secd	6	0
nopimelate--d-alan	6	0
suppressor	6	0
grpe	6	0
guanine-n1	6	0
pmm-family	6	0
pyrophosphorylase	6	0
extragenic	6	0
octaprenyl	6	0
threonyl-trna	6	0
enolase	6	0
killing	6	0
single-strand	6	0
folylpolyglutamate	6	0
suhb	6	0
cycle	6	0
kica	6	0
kicb	6	0
alanyl-trna	6	0
dna-binding	6	0
5-phosphate	6	0
ribd	6	0
ribf	6	0
s-adenosylmethionine	6	0
1-carboxyvinyltransferase	6	0
msba	6	0
udp-n-acetylmuramoylalanyl-d-glutamyl-2	6	0
hsp24	5	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	5	0
6-dia	5	0
alanine	5	0
dephospho-coa	5	0
n-acetylglucosamine	5	0
udp-n-acetylmuramate	5	0
2-c-methyl-d-erythritol	4	7
udp-n-acetylmuramoyl-l-alanine	4	0
6-diami	4	0
minopim	4	0
pyrophosphoryl-undecaprenol	4	0
d-glutamate	4	0
uridine	4	0
homolog	4	0
n-acetylmuramyl-	4	0
holliday	3	0
fold	3	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	3	0
udp-n-acetylmuramoylalanine--d-glutamate	3	0
minopimelate	3	0
junction	3	0
outer-membrane	3	0
resolvase	3	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	3	0
system	3	0
methylenetetrahydrofolate	3	0
lipoprotein-releasing	3	0
partition	3	0
2c-methyl-d-erythritol	3	0
udp-n-acetylglucosamine--n-acetylmuramyl-	3	0
uridylate	3	0
-monophosphate	3	0
bifunctional	3	0
chromosome	3	0
methenyltetrahydrofolate	3	0
pentapeptide	3	0
solvent	2	8
organic	2	8
tolerance	2	8
translation	2	7
permease	2	1
export	2	1
lipid	2	0
6-diam	2	0
lolb	2	0
phers	2	0
ftsb	2	0
transmembrane	2	0
6-di	2	0
udp-n-acetylmuramate--l-alanine	2	0
includes	2	0
peptide	1	7
hydrolase	1	7
-methyltransferase	1	4
exported	1	4
monophosphate	1	2
chaperonin	1	1
3-octaprenyl-4-hydroxybenzoate	1	0
phosphoglucosamine	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridi	1	0
polyphosphate	1	0
ef-ts	1	0
2-amino-4-hydroxy-6-	1	0
metrs	1	0
if-2	1	0
udp-3-o-acyl-glcnac	1	0
-lysidine	1	0
nine	1	0
endopeptidase	1	0
l-carboxyvinyltransferase	1	0
hydroxymethyldihydropteridine	1	0
glutr	1	0
thrrs	1	0
carboxy-lyase	1	0
secy	1	0
2-phospho-d-glycerate	1	0
single-stranded	1	0
dnab	1	0
tide	1	0
alars	1	0
cpn10	1	0
glurs	1	0
inositol-1-monophosphatase	1	0
region	1	0
peptidoglycan	1	0
o-sialoglycoprotein	1	0
dtmp	1	0
guanine-n	1	0
phospho-n-acetylmuramoyl-pentapeptide-	1	0
binding	1	0
mutase	1	0
penta	1	0
octaprenyltransferase	1	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	1	0
hydro-lyase	1	0
nicotinate-nucleotide	1	0
deacetylase	1	0
-pyrophosphoryl-undecaprenol	1	0
assembly	1	0
pentapep	1	0
cytidylyltransferase	0	21
aldolase	0	20
acid	0	14
primosomal	0	14
uroporphyrinogen	0	14
dihydrodipicolinate	0	13
diphosphate	0	12
rrna	0	9
processing	0	9
ribonuclease	0	8
dehydratase	0	8
hydroxylase	0	8
protoporphyrinogen	0	7
substance	0	7
aminopeptidase	0	7
if-3	0	7
primase	0	7
polypeptide	0	7
subunits	0	7
seca	0	7
carbonic	0	7
diaminopimelate	0	7
n-succinyltransferase	0	7
dihydroneopterin	0	7
anhydrase	0	7
2-octaprenyl-6-methoxyphenol	0	7
-subunit	0	7
epimerase	0	7
utilization	0	7
lipoic	0	7
dnak	0	7
o-phosphatidyltransferase	0	7
desuccinylase	0	7
release	0	7
methionine	0	7
oxidase	0	7
menaquinone	0	7
glyceraldehyde	0	7
3-deoxy-d-manno-octulosonic-acid	0	7
formyltransferase	0	7
glutamate	0	7
deformylase	0	7
ribosome-binding	0	7
racemase	0	7
rare	0	7
phosphatidate	0	7
gamma	0	7
delta-aminolevulinic	0	7
3-deoxy-manno-octulosonate	0	7
sigma-32	0	7
cdp-diacylglycerol-serine	0	7
3-phosphate	0	7
5-tetrahydropyridine-2-carboxylate	0	7
rnase	0	6
d-3-hydroxydecanoyl-	0	6
4-alpha-l-fucosyltransferase	0	6
-bis	0	6
phosphotidylglycerophosphate	0	6
carrier-protein	0	6
dihydrolipoamide	0	6
monooxygenase	0	6
histidyl-trna	0	6
mvin	0	6
secf	0	6
ubie	0	6
succinyl-diaminopimelate	0	6
nucleotidyltransferase	0	6
nh3-dependent	0	6
2-dehydro-3-deoxyphosphooctonate	0	6
recycling	0	6
3-demethylubiquinone-9	0	6
lytb	0	6
6-bisphosphate	0	6
