WORD	Klebsiella	Not
bacteria	181	124
rh20207	181	124
icorn	181	124
annotate	181	124
protein	73	54
ribosomal	35	18
subunit	18	11
synthetase	18	7
synthase	12	6
factor	8	8
kinase	8	2
polymerase	7	7
division	7	2
cell	7	2
alpha	6	1
membrane	5	3
beta	5	2
ligase	5	1
lipoprotein	4	2
transferase	4	2
translation	4	1
carboxylase	4	1
reductase	3	4
outer	3	1
transcription	3	1
acetyl-coa	3	1
carrier	3	1
system	3	0
partition	3	0
termination	3	0
atp-binding	3	0
signal	3	0
chromosome	3	0
riboflavin	3	0
hypothetical	2	6
conserved	2	6
dehydrogenase	2	5
lipopolysaccharide	2	3
shape-determining	2	2
acyl-carrier-protein	2	2
translocase	2	2
gtp-binding	2	2
preprotein	2	2
biosynthesis	2	2
assembly	2	2
trna	2	1
dna-directed	2	1
permease	2	1
decarboxylase	2	1
initiation	2	1
cyclohydrolase	2	1
carboxyl	2	1
topoisomerase	2	1
replication	2	0
pyrophosphokinase	2	0
gyrase	2	0
phenylalanyl-trna	2	0
acyltransferase	2	0
elongation	2	0
adenylyltransferase	2	0
glutamyl-trna	2	0
delta	2	0
peptidase	2	0
udp-n-acetylglucosamine	2	0
releasing	2	0
transmembrane	2	0
diphosphatase	2	0
glycyl-trna	2	0
transporter	2	0
putative	1	7
family	1	4
protein-export	1	2
sigma	1	2
biotin	1	1
antitermination	1	1
methionyl-trna	1	1
atp-dependent	1	1
glycerol-3-phosphate	1	1
dnaa	1	1
4-phosphate	1	1
thymidylate	1	1
cluster	1	1
-methyltransferase	1	1
complex	1	1
helicase	1	1
reductoisomerase	1	0
3-octaprenyl-4-hydroxybenzoate	1	0
phosphoglucosamine	1	0
02528	1	0
coa-acyl	1	0
02835	1	0
00859	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridi	1	0
00583	1	0
02035	1	0
nicotinamide	1	0
01154	1	0
cgta	1	0
03429	1	0
pantetheine-phosphate	1	0
03426	1	0
oxaa	1	0
00988	1	0
00987	1	0
1-deoxy-d-xylulose	1	0
02355	1	0
2-polyprenylphenol	1	0
01632	1	0
holo-	1	0
prolyl-trna	1	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	1	0
udp-n-acetylmuramoylalanine--d-glutamate	1	0
02810	1	0
rpod	1	0
lipopolysaccharide-binding	1	0
01024	1	0
-kinase	1	0
01023	1	0
if-2	1	0
inorganic	1	0
if-1	1	0
valyl-trna	1	0
02432	1	0
02430	1	0
02431	1	0
02436	1	0
02437	1	0
02434	1	0
02435	1	0
-lysidine	1	0
05459	1	0
04699	1	0
05455	1	0
aspartate-semialdehyde	1	0
00468	1	0
02074	1	0
nine	1	0
02723	1	0
ribose-phosphate	1	0
00786	1	0
roda	1	0
01550	1	0
penicillin-binding	1	0
01552	1	0
01803	1	0
01809	1	0
endopeptidase	1	0
accessory	1	0
03109	1	0
03108	1	0
gros	1	0
dihydrofolate	1	0
sece	1	0
secd	1	0
carboxy-lyase	1	0
4-cyclodiphosphate	1	0
secy	1	0
02426	1	0
metallopeptidase	1	0
01707	1	0
01706	1	0
beta-n-acetylglucosaminyltransferase	1	0
chaperonin	1	0
00603	1	0
nadh	1	0
hydratase	1	0
ftsb	1	0
ftsa	1	0
ftsi	1	0
ftsw	1	0
ftsq	1	0
flavodoxin	1	0
ftsz	1	0
ftsy	1	0
tigr00250	1	0
01011	1	0
01013	1	0
02443	1	0
00869	1	0
00868	1	0
00867	1	0
00866	1	0
00861	1	0
00860	1	0
03569	1	0
lolc	1	0
lolb	1	0
lola	1	0
03568	1	0
lole	1	0
lold	1	0
02008	1	0
adenylate	1	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	1	0
guanine-n1	1	0
undecaprenyldiphospho-muramoylpentapeptide	1	0
03143	1	0
03412	1	0
porphobilinogen	1	0
1-deoxy-d-xylulose-5-phosphate	1	0
03148	1	0
02539	1	0
02145	1	0
chromosomal	1	0
02543	1	0
02540	1	0
leucyl-trna	1	0
udp-n-acetylmuramate--alanine	1	0
deaminase	1	0
02149	1	0
00885	1	0
00884	1	0
00887	1	0
00886	1	0
00881	1	0
00880	1	0
00883	1	0
00882	1	0
02532	1	0
02537	1	0
transaminase	1	0
02534	1	0
single-stranded	1	0
00050	1	0
polyprenyl	1	0
04342	1	0
dnac	1	0
methylenetetrahydrofolate	1	0
01753	1	0
03939	1	0
glucosamine-1-phosphate	1	0
lipoprotein-releasing	1	0
00941	1	0
00470	1	0
01281	1	0
00473	1	0
01288	1	0
05444	1	0
n-acyltransferase	1	0
02710	1	0
02717	1	0
02718	1	0
tyrosyl-trna	1	0
glutamine-fructose-6-phosphate	1	0
01833	1	0
01832	1	0
01835	1	0
nucleotide	1	0
initiator	1	0
octaprenyl-diphosphate	1	0
nicotinate	1	0
glycoprotease	1	0
01172	1	0
01171	1	0
yaet	1	0
02357	1	0
02356	1	0
seryl-trna	1	0
03116	1	0
03114	1	0
01001	1	0
03113	1	0
01536	1	0
01537	1	0
03592	1	0
03593	1	0
03591	1	0
glutaminyl-trna	1	0
replicative	1	0
01901	1	0
01900	1	0
01713	1	0
01710	1	0
01711	1	0
01714	1	0
00755	1	0
02289	1	0
00022	1	0
00020	1	0
00025	1	0
03873	1	0
03874	1	0
threonyl-trna	1	0
di-trans	1	0
00471	1	0
01820	1	0
01005	1	0
01002	1	0
01003	1	0
phosphatidylserine	1	0
00878	1	0
00879	1	0
inositol-1-monophosphatase	1	0
04430	1	0
04432	1	0
04433	1	0
00870	1	0
00871	1	0
00872	1	0
00873	1	0
00874	1	0
00877	1	0
phosphoglycerate	1	0
00449	1	0
00448	1	0
peptidoglycan	1	0
poly-cis-decaprenylcistransferase	1	0
01131	1	0
01134	1	0
4-dihydroxy-2-butanone	1	0
03403	1	0
o-sialoglycoprotein	1	0
dephospho-coa	1	0
dutp	1	0
phosphopantothenoylcysteine	1	0
acyl	1	0
nusg	1	0
nusa	1	0
02524	1	0
02525	1	0
02526	1	0
00656	1	0
00657	1	0
03574	1	0
03575	1	0
02483	1	0
02529	1	0
00890	1	0
00891	1	0
periplasmic	1	0
enoyl-	1	0
lipid-a-disaccharide	1	0
2c-methyl-d-erythritol	1	0
03820	1	0
03829	1	0
malonyl	1	0
04672	1	0
03438	1	0
n-acetyltransferase	1	0
diacylglyceryl	1	0
mrec	1	0
1-acyl-sn-glycerol-3-phosphate	1	0
mutase	1	0
lipid	1	0
04019	1	0
01828	1	0
01829	1	0
01431	1	0
ferrochelatase	1	0
01822	1	0
03410	1	0
alanyl-trna	1	0
02809	1	0
03439	1	0
tigr00150	1	0
7-dimethyl-8-ribityllumazine	1	0
03430	1	0
03437	1	0
03124	1	0
04497	1	0
04495	1	0
04492	1	0
particle	1	0
00999	1	0
04498	1	0
01310	1	0
tetraacyldisaccharide	1	0
01918	1	0
asparaginyl-trna	1	0
tetrahydrofolate	1	0
01911	1	0
dna-binding	1	0
5-phosphate	1	0
export	1	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	1	0
recognition	1	0
02512	1	0
udp-n-acetylenolpyruvoylglucosamine	1	0
03570	1	0
03866	1	0
02097	1	0
zipa	1	0
6-hydroxylase	1	0
co-chaperone	1	0
6-diaminopimelate	1	0
phosphopyruvate	1	0
02429	1	0
02428	1	0
02425	1	0
ribd	1	0
02427	1	0
ribf	1	0
hflb	1	0
00967	1	0
s-adenosylmethionine	1	0
mukb	1	0
mukf	1	0
muke	1	0
00597	1	0
