WORD	Klebsiellaenterobacter	Not
bacteria	181	62
rh20207	181	62
annotate	181	62
icorn	181	62
protein	134	40
ribosomal	69	19
subunit	39	12
synthetase	39	3
synthase	23	8
kinase	18	2
factor	15	6
cell	15	4
polymerase	14	7
alpha	14	0
division	12	4
beta	9	2
membrane	9	2
ligase	9	1
lipoprotein	8	2
bacterial	8	0
translation	8	0
family	7	3
carboxylase	7	1
transferase	7	0
system	7	0
transcription	7	0
signal	7	0
peptidase	6	0
peptidoglycan	6	0
termination	6	0
dehydrogenase	5	10
translocase	5	4
reductase	5	4
outer	5	2
trna	5	2
decarboxylase	5	2
adenylyltransferase	5	1
acetyl-coa	5	1
atp-binding	5	0
riboflavin	5	0
hypothetical	4	2
cyclohydrolase	4	2
biosynthesis	4	2
assembly	4	2
carrier	4	2
conserved	4	2
chain	4	0
gyrase	4	0
phenylalanyl-trna	4	0
acyltransferase	4	0
elongation	4	0
dna-directed	4	0
glutamyl-trna	4	0
permease	4	0
delta	4	0
udp-n-acetylglucosamine	4	0
initiation	4	0
releasing	4	0
pyrophosphokinase	4	0
topoisomerase	4	0
glycyl-trna	4	0
chromosome	4	0
chaperone	3	3
helicase	3	3
lipopolysaccharide	3	2
replication	3	1
shape-determining	3	0
-lysidine	3	0
organelle	3	0
gtp-binding	3	0
periplasmic	3	0
partition	3	0
replicative	3	0
nusa	3	0
lipid-a-disaccharide	3	0
transmembrane	3	0
recognition	3	0
domain	3	0
transport	3	0
sigma	2	3
component	2	2
biotin	2	2
4-phosphate	2	2
preprotein	2	2
carboxyl	2	2
thymidylate	2	2
protein-export	2	1
glycerol-3-phosphate	2	1
complex	2	1
putative	2	1
reductoisomerase	2	0
phosphoglucosamine	2	0
cgta	2	0
1-deoxy-d-xylulose	2	0
prolyl-trna	2	0
involved	2	0
udp-n-acetylmuramoylalanine--d-glutamate	2	0
rpod	2	0
s-adenosylmethionine	2	0
inorganic	2	0
valyl-trna	2	0
acyl-carrier-protein	2	0
abc-type	2	0
ribose-phosphate	2	0
roda	2	0
endopeptidase	2	0
antitermination	2	0
accessory	2	0
condensin	2	0
dihydrofolate	2	0
secd	2	0
methionyl-trna	2	0
4-cyclodiphosphate	2	0
secy	2	0
elongation-specific	2	0
ftsb	2	0
ftsa	2	0
ftsi	2	0
ftsw	2	0
flavodoxin	2	0
ftsz	2	0
ftsy	2	0
apolipoprotein	2	0
lolc	2	0
lolb	2	0
lola	2	0
merops	2	0
adenylate	2	0
1-deoxy-d-xylulose-5-phosphate	2	0
chromosomal	2	0
leucyl-trna	2	0
deaminase	2	0
transaminase	2	0
molecular	2	0
dnaa	2	0
dnac	2	0
sece	2	0
regulator	2	0
glucosamine-1-phosphate	2	0
n-acyltransferase	2	0
tyrosyl-trna	2	0
initiator	2	0
yaet	2	0
seryl-trna	2	0
glutaminyl-trna	2	0
predicted	2	0
threonyl-trna	2	0
phosphatidylserine	2	0
pyrophosphate	2	0
phosphoglycerate	2	0
o-sialoglycoprotein	2	0
dephospho-coa	2	0
phosphopantothenoylcysteine	2	0
acyl	2	0
nusg	2	0
cluster	2	0
2c-methyl-d-erythritol	2	0
n-acetyltransferase	2	0
diacylglyceryl	2	0
4-dihydroxy-2-butanone	2	0
mrec	2	0
c-terminal	2	0
1-acyl-sn-glycerol-3-phosphate	2	0
mutase	2	0
lipid	2	0
ferrochelatase	2	0
diphosphatase	2	0
alanyl-trna	2	0
7-dimethyl-8-ribityllumazine	2	0
particle	2	0
tigr00250	2	0
asparaginyl-trna	2	0
5-phosphate	2	0
export	2	0
srp54	2	0
zipa	2	0
carboxyltransferase	2	0
mukb	2	0
mukf	2	0
iron-sulfur	2	0
isoleucyl-trna	2	0
1-carboxyvinyltransferase	2	0
msba	2	0
4-hydroxybenzoate	2	0
pantothenate	2	0
methenyltetrahydrofolate	2	0
transporter	2	0
guanylate	2	0
sec61	2	0
prolipoprotein	2	0
grpe	2	0
serine	1	4
hydroxylase	1	3
atp-dependent	1	2
-methyltransferase	1	2
methyltransferase	1	1
l30p	1	0
3-octaprenyl-4-hydroxybenzoate	1	0
