WORD	BeneficialLoss	Not
protein	32024	4826
hypothetical	9870	1807
putative	8018	1787
conserved	5692	919
bacteria	5015	974
annotate	4592	939
icorn	4592	939
rh20207	4592	939
family	4437	445
subunit	4424	214
binding	4131	328
membrane	4073	723
transporter	3645	289
regulator	2688	382
system	2628	292
transcriptional	2597	395
transport	2424	228
domain	2352	263
dehydrogenase	2291	127
component	2082	246
synthase	2081	38
permease	2013	148
type	1941	260
phosphate	1887	81
reductase	1633	57
kinase	1596	104
ribosomal	1358	23
acid	1206	131
dependent	1202	75
predicted	1156	169
uncharacterized	1148	102
precursor	1073	157
trna	1052	18
phage	1032	161
regulatory	1032	160
like	1025	160
chain	957	49
factor	949	54
beta	943	70
specific	939	114
oxidoreductase	935	45
lipoprotein	920	188
periplasmic	913	79
biosynthesis	909	83
alpha	879	45
hydrolase	877	53
synthetase	850	14
probable	810	156
unknown	779	134
function	776	131
methyltransferase	775	15
inner	765	112
outer	739	179
transferase	721	78
exported	695	177
isomerase	687	70
amino	675	68
flagellar	666	20
efflux	622	54
repressor	619	57
lyase	601	28
operon	592	88
atpase	584	25
terminal	566	44
superfamily	559	50
resistance	550	60
ligase	539	18
dehydratase	538	55
tail	530	95
secretion	517	118
associated	517	106
cytochrome	516	58
bacteriophage	505	108
sugar	503	84
assembly	501	109
enzyme	498	49
related	496	31
acetyltransferase	493	92
polymerase	479	19
sensor	449	34
hydrogenase	444	5
aldolase	429	45
utilization	429	41
phosphatase	428	28
decarboxylase	427	45
small	426	31
fimbrial	425	199
activator	421	72
cell	420	56
formate	418	24
response	413	53
possible	410	101
alanine	409	11
nadh	404	9
prophage	400	138
lysr	400	59
major	400	57
protease	394	32
iron	388	19
glycerol	388	6
oxidase	385	29
aminotransferase	383	21
helicase	375	11
bacterial	373	52
acyl	371	16
epimerase	370	29
peptidase	365	33
carrier	360	16
anaerobic	356	10
serine	354	18
chaperone	347	91
large	342	32
division	335	17
fructose	332	27
histidine	325	21
glutamate	325	9
phosphotransferase	322	49
shock	319	47
sigma	315	21
transposase	314	348
facilitator	302	28
glucose	301	68
gamma	290	18
symporter	289	39
substrate	287	14
proteins	284	41
nitrate	278	1
peptide	275	35
class	271	18
containing	270	28
glutathione	269	12
aspartate	266	10
complex	265	5
multidrug	264	21
systematic	259	206
helix	253	36
arginine	250	11
receptor	248	31
arabinose	247	16
zinc	243	11
signal	242	22
deaminase	239	11
acetyl	238	20
bifunctional	238	10
glycine	234	20
mannose	233	22
threonine	230	29
pyruvate	229	5
transcription	227	19
citrate	227	9
repair	221	2
glycosyl	218	36
deoxy	217	14
involved	215	11
nucleoside	215	10
thiamine	212	3
ribonuclease	212	2
nitrite	211	6
secreted	205	93
nickel	205	9
molybdopterin	205	3
acyltransferase	204	21
methyl	204	6
electron	202	6
cysteine	201	2
putrescine	199	3
diphosphate	197	3
ethanolamine	196	32
metabolism	196	13
integrase	191	49
delta	191	3
hydratase	190	4
replication	189	9
nucleotide	188	14
lipopolysaccharide	187	54
sulfur	187	6
heat	186	16
ribose	186	16
elongation	185	12
inducible	184	38
antiporter	182	33
quinone	181	7
endonuclease	179	10
alcohol	179	7
uptake	178	4
biogenesis	176	24
body	174	3
basal	174	3
pseudouridine	174	1
chemotaxis	171	3
transduction	170	21
keto	170	20
export	168	19
penicillin	166	6
ferredoxin	165	14
dicarboxylate	163	14
flavoprotein	163	9
translocase	161	21
affinity	160	8
rrna	160	1
phosphoribosyltransferase	158	4
fumarate	158	2
glutamine	157	3
cyclase	155	20
oligopeptide	155	11
potassium	153	16
sulfate	153	6
integral	152	18
sodium	152	15
cation	150	8
arac	149	38
disulfide	148	14
methylase	148	14
metal	148	4
carboxylase	148	1
exonuclease	148	1
with	147	37
formation	147	10
regulon	146	14
inhibitor	145	39
channel	145	39
murein	145	5
effector	144	86
minor	144	17
copper	143	11
amidase	143	3
pathway	142	27
lipid	142	15
starvation	142	11
sulfoxide	142	2
nitrogen	142	2
spermidine	141	12
transglycosylase	141	9
phosphoglycerate	141	8
fatty	141	5
hook	141	1
prolyl	140	33
tyrosine	140	25
malate	140	10
catalytic	140	5
esterase	140	4
trans	139	25
repeat	139	13
peptidyl	138	33
usher	137	47
semialdehyde	137	3
racemase	137	3
dipeptide	136	1
dimethyl	136	1
high	135	8
gyrase	135	6
biosynthetic	134	2
transmembrane	133	42
ubiquinone	133	0
pilus	132	43
propanediol	131	12
ornithine	131	3
recombinase	130	23
transfer	130	6
uracil	130	4
proline	129	19
branched	129	6
phosphonate	129	5
hydroxy	129	4
ammonia	128	15
region	128	8
acetylglucosamine	128	4
phosphodiesterase	127	16
phospho	127	8
import	126	5
glycosylase	126	0
glutamyl	126	0
virulence	125	78
adenylyltransferase	125	1
maltose	124	19
proton	124	16
phosphoenolpyruvate	124	6
biotin	124	1
methionine	123	19
gluconate	123	17
tonb	123	13
phosphorylase	123	12
site	122	23
lysine	121	20
aminopeptidase	120	2
[acyl	120	2
succinate	120	0
translation	118	9
gntr	118	8
exodeoxyribonuclease	118	2
bisphosphate	117	25
synthesis	116	9
dehydro	115	3
aldehyde	114	0
hydrogenlyase	114	0
solute	113	15
galactose	113	9
monooxygenase	113	6
ribonucleoside	113	4
isopropylmalate	113	0
lactate	112	11
mutase	112	5
triphosphate	111	2
core	110	32
modification	110	29
polysaccharide	110	25
homoserine	110	2
acetylmuramoyl	110	0
stress	109	47
glycosyltransferase	109	16
independent	109	11
guanine	109	2
gene	108	9
enterobactin	108	7
adenine	108	6
ring	108	4
carboxypeptidase	108	2
molybdenum	108	1
alanyl	107	4
bound	106	5
cluster	106	4
carbohydrate	105	12
tetr	105	7
dioxygenase	105	1
respiratory	105	0
secretory	104	47
betaine	104	17
ferric	104	6
porin	103	39
antigen	103	28
aminoethylphosphonate	103	3
pump	103	2
diguanylate	102	22
maturation	102	0
carbon	102	0
thiol	100	13
mannitol	100	7
xylose	99	20
turn	99	14
topoisomerase	99	7
competence	99	5
initiation	99	1
receiver	98	17
regulators	98	9
glutaredoxin	97	9
deacetylase	97	4
peptidoglycan	97	3
gtpase	96	16
laci	96	12
cyclic	96	7
components	96	2
cobalt	96	2
ubiquinol	95	13
exporter	95	8
siderophore	95	5
carboxylate	95	2
short	95	2
coenzyme	94	4
trehalose	94	2
pilin	93	38
ribulose	93	3
cobalamin	93	1
transketolase	93	0
pyrophosphatase	93	0
restriction	92	28
control	92	6
regulation	92	3
lytic	92	3
ribosome	91	6
adhesin	90	28
tryptophan	89	7
determining	89	5
dehydrogenases	89	3
glucosamine	88	13
acetolactate	87	4
systems	87	3
[includes	87	2
junction	87	0
surface	86	21
negative	86	14
domains	86	12
aromatic	86	10
glucosidase	86	8
sorbitol	86	6
transporting	86	1
rhamnose	85	15
heme	85	6
capsid	85	4
radical	85	1
release	85	0
thioredoxin	84	5
purine	84	2
glucitol	84	2
chorismate	84	2
pseudogene	83	30
shikimate	83	14
drug	83	11
nadph	83	6
catabolism	83	6
mismatch	83	0
cyclohydrolase	83	0
ggdef	82	12
diaminopimelate	82	0
peroxidase	81	13
xanthine	81	3
monophosphate	81	0
carbamoyltransferase	80	5
hydroxylase	80	3
oxide	80	3
oxoacyl	80	2
thioesterase	80	1
glycogen	79	7
terminus	79	7
motor	79	6
pyrimidine	79	3
colanic	78	18
cytoplasmic	78	11
activating	78	4
recombination	78	2
sulfatase	77	23
adenosine	77	6
deor	77	5
terminase	77	4
accepting	77	2
guanosine	77	0
subfamily	76	9
cytidylyltransferase	76	8
acetylgalactosamine	76	8
isozyme	76	4
adenosylmethionine	76	3
hydroxybenzoate	76	2
formyltransferase	76	0
degradation	75	11
baseplate	75	5
flavodoxin	75	4
directed	75	3
cytosine	75	2
succinyltransferase	75	0
autotransporter	74	19
regulated	74	18
suppressor	74	5
pyridoxal	74	5
succinyl	74	0
homolog	73	21
preprotein	72	5
cleavage	72	1
octaprenyl	72	0
lysozyme	71	23
iibc	71	6
extracellular	71	5
switch	71	5
accessory	71	5
enzymes	71	4
pathogenicity	70	96
island	70	96
interchange	70	6
chey	69	12
acetate	69	5
nadp	69	0
tagatose	68	13
undecaprenyl	68	11
hydrolases	68	2
barrel	67	6
amidohydrolase	67	5
responsive	67	4
phosphoribosyl	67	1
aconitate	67	0
cofactor	67	0
shape	67	0
eiic	66	14
host	66	12
heptose	66	7
nudix	66	3
precorrin	66	0
hydroxyphenylacetate	65	3
vitamin	65	2
histidinol	65	0
transporters	64	15
gnat	64	9
sulfurtransferase	64	4
anthranilate	64	0
cellobiose	63	18
sorbose	63	8
fold	63	6
haloacid	63	0
dehalogenase	63	0
fima	62	24
leucine	62	8
carnitine	61	15
toxin	61	12
oxygen	61	3
galactitol	60	20
inactivated	60	19
galactonate	60	6
dipeptidase	60	6
primosomal	60	0
holliday	60	0
uncharacterised	59	7
thiosulfate	59	4
nicotinate	59	2
isocitrate	59	1
uroporphyrinogen	59	0
apparatus	58	15
modulator	58	13
uridine	58	9
synthetases	58	4
pyridine	58	3
xylulose	58	0
choline	57	9
phosphogluconate	57	3
permeases	57	3
phospholipase	57	1
dephospho	57	0
transaminase	57	0
fragment	56	40
derivatives	56	19
nucleotidase	56	6
finger	56	5
hlyd	56	4
sulfite	56	3
magnesium	56	2
manno	56	0
aerobic	56	0
riboflavin	56	0
glucarate	55	7
coproporphyrinogen	55	2
universal	54	39
expression	54	21
dihydrodipicolinate	54	12
pyrophosphate	54	1
aldo	54	1
isoenzymes	54	1
phosphofructokinase	54	0
fiber	53	13
ribokinase	53	13
fucose	53	8
pyrophosphohydrolase	53	0
metabolite	52	12
transaldolase	52	6
lactamase	52	6
amidotransferase	52	3
enoyl	52	3
oxoglutarate	52	3
molybdate	52	1
inorganic	52	0
erythritol	52	0
group	51	10
activity	51	8
endopeptidase	51	5
induced	51	4
diacylglycerol	51	2
rnase	51	2
forming	51	2
bisphosphatase	51	0
heptosyltransferase	51	0
asparaginase	51	0
multiple	50	9
antitoxin	50	8
cellulose	50	2
dinucleotide	50	1
desulfurase	50	0
damage	49	15
phospholipid	49	6
galactosidase	49	5
oxygenase	49	0
phosphoribosylaminoimidazole	49	0
menaquinone	49	0
cold	48	19
contains	48	6
lambda	48	5
portal	48	4
polypeptide	48	2
pantothenate	48	1
dihydroxy	48	0
nitroreductase	48	0
anti	47	14
xerd	47	12
length	47	9
propionate	47	6
tartrate	47	6
prepilin	47	5
acetylornithine	47	4
tolerance	47	3
ascorbate	47	1
voltage	47	0
mannonate	47	0
phenylalanyl	47	0
lactose	46	11
colicin	46	4
kinases	46	2
motility	46	2
phosphoserine	46	1
intracellular	46	1
epsilon	46	0
transhydrogenase	46	0
pyrroline	46	0
invasion	45	42
plasmid	45	10
antibiotic	45	9
eiia	45	7
aminobutyrate	45	5
subunits	45	5
uridylyltransferase	45	5
sensitive	45	4
inositol	45	3
glyoxylate	45	2
cytidine	45	2
valine	45	1
aldose	45	1
pyrophosphokinase	45	0
excinuclease	45	0
diketo	44	7
heavy	44	5
flavin	44	3
carboxyl	44	1
sulphate	44	1
phosphoglucomutase	44	0
hsp90	44	0
adenylate	44	0
carbamoyl	44	0
leader	43	28
specificity	43	11
septum	43	6
hydroxypyruvate	43	6
nuclease	43	5
dnaj	43	5
para	43	4
lipoate	43	2
insensitive	43	1
f420	43	1
thiolase	43	0
maltodextrin	43	0
long	42	8
antitermination	42	6
autoinducer	42	2
thymidylate	42	1
lauroyl	42	0
fibre	41	33
ferrous	41	13
modulation	41	11
phosphocarrier	41	5
wall	41	3
crispr	41	2
ferrichrome	41	2
taurine	41	1
anchor	41	1
