word	p-value	corrected-p-value
hypothetical	1.26936665684916e-249	1.73040062661678e-245
protein	3.80953919570803e-182	2.59658191579459e-178
conserved	2.48692478150783e-62	1.13005862071716e-58
island	9.32983842831838e-57	2.54368714909672e-53
pathogenicity	9.32983842831838e-57	2.54368714909672e-53
effector	1.78929060595977e-54	4.06526825674061e-51
prophage	6.20277323393398e-51	1.20794578178554e-47
secretion	5.74893309458221e-50	9.79618199316809e-47
type	3.29710334172541e-41	4.99401252826675e-38
fimbrial	2.78795426041196e-37	3.80053924779358e-34
systematic	1.42495125697773e-36	1.76590323046549e-33
integrase	1.57149267600162e-33	1.78521567993784e-30
putative	2.93982241425952e-32	3.08274301162968e-29
t3ss	1.38872726096642e-30	1.35222357296387e-27
invasion	3.48727111888005e-30	3.16923199283819e-27
apparatus	1.74494876502234e-25	1.48669634779903e-22
porin	1.16856734445209e-24	9.37053531739464e-22
lipopolysaccharide	2.19668638594934e-24	1.66362382295896e-21
regulator	2.39462604599915e-23	1.7180811715295e-20
cold	2.70452178619946e-23	1.84340204947355e-20
fimbrial-like	4.25572954620169e-23	2.76257643684864e-20
transcriptional	8.70473006063695e-21	5.39376728120923e-18
virulence	1.87255030096458e-20	1.10985242185866e-17
adhesin	5.44842725964218e-20	3.09470668347676e-17
is200	5.90743555284306e-20	3.22120645825426e-17
chaperone	2.45531486380007e-19	1.28734047012779e-16
recombinase	2.65898361441778e-19	1.31059613070362e-16
diguanylate	2.69195214639829e-19	1.31059613070362e-16
secreted	1.41998581926915e-18	6.67491265113001e-16
secretory	2.96996611553007e-18	1.34955260289687e-15
ggdef	8.26258081193894e-18	3.63340327833392e-15
curli	8.63391199565187e-18	3.67804651014769e-15
unknown	1.21278468681897e-17	5.0099032880958e-15
core	1.46172504754804e-17	5.86065760240438e-15
function	8.53637600601321e-17	3.32479650611349e-14
luxr	1.52433095663996e-16	5.77213322247664e-14
exported	6.12269098306591e-16	2.25579793192309e-13
usher	3.0853947249076e-15	1.10684476026159e-12
pseudogene	2.46199610704924e-14	8.60562331571674e-12
cyclase	4.11373550269957e-14	1.40196105932001e-11
dna-binding	8.60833120262799e-14	2.862165145225e-11
l-fucose	1.08993270411952e-13	3.53761014822791e-11
fima	2.3324716485111e-13	7.39447756104727e-11
fibre	5.04049890051851e-13	1.56163820481519e-10
o-antigen	5.6457296316285e-13	1.71027969640799e-10
bacterioferritin	1.31970680781275e-12	3.91092243567465e-10
helix-turn-helix	1.48767069948088e-12	4.31487807985603e-10
assembly	4.39231936902825e-12	1.24741870080402e-09
pilin	5.00664487720377e-12	1.3928690401233e-09
element	5.33022211450311e-12	1.45323175729813e-09
if-3	7.38495604603252e-12	1.97395531018658e-09
ferritin-like	1.04322735217911e-11	2.73486062786647e-09
specificity	1.53830179227441e-11	3.95662830797826e-09
xerd	1.78801952851139e-11	4.51375596530875e-09
flhd	2.36795590660497e-11	5.66315349453316e-09
topological	2.36795590660497e-11	5.66315349453316e-09
h-ns	2.36795590660497e-11	5.66315349453316e-09
outer	2.4152601523552e-11	5.67669420636312e-09
site-specific	2.91802413776492e-11	6.74211949932397e-09
biofilm	5.36461520266587e-11	1.21884057404569e-08
restriction	5.51345008386022e-11	1.23212051710135e-08
if-1	7.59268449577249e-11	1.66941088784469e-08
poly-beta-1	8.7504207162021e-11	1.89342436830583e-08
guanylate	1.19185150976753e-10	2.53864371580483e-08
antitoxin	1.99923032309173e-10	4.19284734836716e-08
phage	2.19593965146337e-10	4.53561353465888e-08
immunity	3.39760237684574e-10	6.91285307480018e-08
pilus	6.08799724418515e-10	1.22046438871665e-07
toxin	7.39502486320118e-10	1.46099969471244e-07
modulating	7.80597178996898e-10	1.49874658367404e-07
caudovirales	7.80597178996898e-10	1.49874658367404e-07
stress	1.0590909371159e-09	2.00521217427278e-07
glycosyltransferase	2.42662547590829e-09	4.48934357694858e-07
glucosyl	2.50286173597485e-09	4.48934357694858e-07
tight	2.50286173597485e-09	4.48934357694858e-07
bacterioferritin-associated	2.50286173597485e-09	4.48934357694858e-07
haemolysin	5.87439810067702e-09	1.03999733647311e-06
fimbriae	6.47230503991711e-09	1.13115977313013e-06
associated	6.74466642576518e-09	1.16383914830419e-06
shock-like	7.45717464695531e-09	1.27070255984119e-06
large-conductance	8.02495834121812e-09	1.35057076675908e-06
tyrosine	8.76362058243822e-09	1.45689848511949e-06
sequence	1.70552195367878e-08	2.76781848482727e-06
restriction-modification	1.70552195367878e-08	2.76781848482727e-06
salmonella	2.95210650799763e-08	4.73448422553219e-06
triphosphohydrolase	3.17813592046e-08	4.97981021467939e-06
deoxyguanosinetriphosphate	3.17813592046e-08	4.97981021467939e-06
multiple	3.30759950388848e-08	5.12377232238724e-06
colanic	4.19074403489579e-08	6.41890142513477e-06
dlp12	4.41104088259432e-08	6.61991247140834e-06
arac-family	4.46766393316877e-08	6.61991247140834e-06
gram-negative	4.46766393316877e-08	6.61991247140834e-06
septation	4.67703925825177e-08	6.85563431919228e-06
possible	4.78455006878657e-08	6.93861558911686e-06
sorf	5.06694512168932e-08	7.27079956830198e-06
activator	6.84852536037646e-08	9.72490601173457e-06
evga	8.2497878733431e-08	1.13597079080215e-05
glgs	8.2497878733431e-08	1.13597079080215e-05
mara	8.2497878733431e-08	1.13597079080215e-05
containing	1.08510141700096e-07	1.47921025165571e-05
chey-like	1.32914545687417e-07	1.79395157109987e-05
fragment	1.81578772755224e-07	2.42674689235218e-05
6-n-acetyl-d-glucosamine	2.13104606516607e-07	2.82042912236348e-05
ferritin	2.64506804678114e-07	3.3080337260294e-05
cyclopropane-fatty-acyl-phospholipid	2.64506804678114e-07	3.3080337260294e-05
fliz	2.64506804678114e-07	3.3080337260294e-05
3-galactosyltransferase	2.64506804678114e-07	3.3080337260294e-05
acrab	2.64506804678114e-07	3.3080337260294e-05
